DebtEquity,CurrentRatio,ProfitMargin,CreditRating
1.44,2.45,-0.09,Poor
2.88,2.12,0.15,Poor
2.33,2.4,0.03,Poor
2.0,2.32,0.1,Poor
0.89,1.82,0.26,Good
0.89,2.37,-0.0,Average
0.65,0.95,0.06,Average
2.67,1.13,0.2,Poor
2.0,0.88,-0.01,Poor
2.27,1.35,-0.07,Poor
0.55,1.46,0.02,Average
2.92,1.26,-0.04,Poor
2.58,2.21,0.27,Poor
1.03,1.41,0.22,Good
0.95,1.28,0.15,Good
0.96,1.72,0.25,Good
1.26,1.04,0.22,Average
1.81,2.16,-0.03,Poor
1.58,0.93,0.26,Average
1.23,2.48,0.12,Good
2.03,2.11,0.22,Poor
0.85,1.14,0.26,Average
1.23,0.81,0.03,Average
1.42,2.19,-0.06,Poor
1.64,2.0,-0.01,Poor
2.46,2.04,0.07,Poor
1.0,2.11,0.23,Good
1.79,0.93,0.24,Average
1.98,1.41,-0.1,Poor
0.62,1.0,0.1,Average
2.02,2.27,0.07,Poor
0.93,1.86,-0.01,Poor
0.66,1.36,-0.05,Poor
2.87,0.91,0.04,Poor
2.91,1.33,0.28,Poor
2.52,1.35,0.03,Poor
1.26,2.04,0.11,Good
0.74,1.88,0.18,Good
2.21,2.31,0.05,Poor
1.6,1.6,0.29,Average
0.81,1.0,0.28,Average
1.74,2.01,0.0,Average
0.59,2.09,0.1,Good
2.77,1.75,0.02,Poor
1.15,2.11,0.01,Average
2.16,1.64,-0.09,Poor
1.28,1.69,0.14,Good
1.8,1.53,0.1,Average
1.87,0.84,-0.08,Poor
0.96,0.98,0.01,Average
